Región	Hotspot	Tipo de costa	Temporada	Promedio de individuos	Promedio límite inferior	Promedio límite superior	Distancia avistamiento (km)	Densidad lineal	Densidad lineal límite inferior	Densidad lineal límite superior	Latitud	Longitud
Coquimbo	SN Humedal La Boca	ARENA	No reproductiva	15.97142857	8.458571429	25.92857143	1	15.97142857	8.458571429	25.92857143	-29.3064969	-71.3631535
Coquimbo	SN Humedal La Boca	ARENA	Reproductiva	8.371428571	6.20952381	10.82857143	1	8.371428571	6.20952381	10.82857143	-29.3064969	-71.3631535
Coquimbo	Chungungo Viejo	ARENA	No reproductiva	6.25	2	8.75	0.68	9.191176471	2.941176471	12.86764706	-29.4173756	-71.3105109
Coquimbo	Chungungo--Darsena	ROCA	No reproductiva	0.333333333	0	1	0.6	0.555555556	0	1.666666667	-29.449242	-71.3147711
Coquimbo	Playa Temblador	ARENA	No reproductiva	0.5	0	1.5	0.5	1	0	3	-29.4786084	-71.3095737
Coquimbo	Totoralillo Norte	ARENA	No reproductiva	0	0	0	0	0	0	0	-29.4907168	-71.3301301
Coquimbo	Totoralillo Norte	ARENA	Reproductiva	0	0	0	0	0	0	0	-29.4907168	-71.3301301
Coquimbo	Isla Tilgo	ROCA	No reproductiva	0.166666667	0	0.5	0.6	0.277777778	0	0.833333333	-29.5439851	-71.3364387
Coquimbo	Playa La Despensa y Sendero Norte	ROCA	Reproductiva	3.428571429	0.714285714	7.428571429	0.6	5.714285714	1.19047619	12.38095238	-29.5981031	-71.2974598
Coquimbo	Caleta Los Hornos	ARENA	No reproductiva	0.222222222	0	0.666666667	0.65	0.341880342	0	1.025641026	-29.622334	-71.2898758
Coquimbo	Caleta Los Hornos	ARENA	Reproductiva	0	0	0	0.65	0	0	0	-29.622334	-71.2898758
Coquimbo	Los Hornos	ARENA	Reproductiva	1.636363636	0	4.181818182	0.5	3.272727273	0	8.363636364	-29.6231051	-71.286217
Coquimbo	Los Hornos	ARENA	No reproductiva	0	0	0	0.5	0	0	0	-29.6231051	-71.286217
Coquimbo	El Molle (La Higuera)	ROCA	No reproductiva	0	0	0	0	0	0	0	-29.6427711	-71.3165096
Coquimbo	El Molle (La Higuera)	ROCA	Reproductiva	0	0	0	0	0	0	0	-29.6427711	-71.3165096
Coquimbo	Punta Teatinos--Casa SAG	ARENA	No reproductiva	2.083333333	0	6.25	0.4	5.208333333	0	15.625	-29.8163607	-71.2854297
Coquimbo	Punta Teatinos--Casa SAG	ARENA	Reproductiva	9.23255814	0.627906977	22.18430233	0.4	23.08139535	1.569767442	55.46075581	-29.8163607	-71.2854297
Coquimbo	Punta Teatinos--Laguna Saladita	ARENA	No reproductiva	32.27388535	22.5544586	44.31671975	0.4	80.68471338	56.3861465	110.7917994	-29.8220854	-71.2886524
Coquimbo	Punta Teatinos--Laguna Saladita	ARENA	Reproductiva	27.64480874	21.84166667	34.83920765	0.4	69.11202186	54.60416667	87.09801913	-29.8220854	-71.2886524
Coquimbo	Punta Teatinos--Playa	ARENA	No reproductiva	56.8	24.8	92.7825	0.85	66.82352941	29.17647059	109.1558824	-29.8250453	-71.2875581
Coquimbo	Punta Teatinos--Playa	ARENA	Reproductiva	39.57142857	16.79285714	72.06785714	0.85	46.55462185	19.75630252	84.78571429	-29.8250453	-71.2875581
Coquimbo	Punta Teatinos--Humedal	ARENA	No reproductiva	15.55555556	5.056944444	30.72083333	1	15.55555556	5.056944444	30.72083333	-29.8299224	-71.2782669
Coquimbo	Punta Teatinos--Humedal	ARENA	Reproductiva	54.2173913	5.740217391	146.1282609	1	54.2173913	5.740217391	146.1282609	-29.8299224	-71.2782669
Coquimbo	La Serena Golf--Playa, Dunas y Cancha	ARENA	No reproductiva	144.7333333	35.10166667	318.06	1	144.7333333	35.10166667	318.06	-29.8441471	-71.2780612
Coquimbo	La Serena Golf--Playa, Dunas y Cancha	ARENA	Reproductiva	64.6875	30.33046875	104.5476563	1	64.6875	30.33046875	104.5476563	-29.8441471	-71.2780612
Coquimbo	La Serena--Caleta San Pedro	ARENA	No reproductiva	32.53333333	7.066666667	67.85166667	1	32.53333333	7.066666667	67.85166667	-29.8746993	-71.2750697
